Veritrace_ID,USTC_ID,Added by,Subcorpus,Subcorpus_2 (if any),CRC_Type,USTC copies,Principal Author,Additional Author,Additional Author2,Additional Author3,Additional Author4,Additional Author5,Contributor,Contributor2,Contributor3,Translator,Short Title,Imprint,Format,Pagination,Place of Printing,Printer/Publisher,Printer/Publisher2,Printer/Publisher3,Date of Publication,Language,USTC Permalink,GW_ID,GW_URL,ISTC_ID,ISTC URL,MEI URL,Verzeichnis 16. Jahrhunders ID (VD16) ID,VD16 Permalink,OPAC SBN ID,OPAC SBN URL,ESTC,SOURCE COMMENTS (Input),Dannenfeldt Cat.,Verified Digital Copy URL,MDZ Link,TaxonomyID,Copy-text?,Taxonomy
134,2112500.0,,Hermetic Corpus,,,5.0,"Rosselli, Annibale",,,,,,,,,,"Divinus Pymander Hermetis Mercurii Trismegisti Cum Commentariis, R. P. F. Hannibalis Rosseli ... : Opus Vere Aureum Reconditaque Sapientia refertissimum, ac proinde cuiuis arcana Dei scire cupienti utilissimum Teil: 6: In quo agitur de immortalitate Anima","Köln, Peter Cholinus, 1630",2°,,Köln,"Cholinus, Peter",,,1630,Latin,https://www.ustc.ac.uk/editions/2112500,,,,,,,,,,,Dannenfeldt 1960a (144),,https://www.google.be/books/edition/Divinus_Pymander_Hermetis_Mercurii_Trism/9N1CAAAAcAAJ?hl=it&gbpv=0,,,,
132,,,Hermetic Corpus,,,,"Rosselli, Annibale",,,,,,,,,,"Divinus Pymander part IV (no exact USTC entry/link, but digital copy available)",,,,,,,,1630,Latin,,,,,,,,,,,,Dannenfeldt 1960a (144),,https://www.google.be/books/edition/Divinus_Pymander_Hermetis_Mercurii_Trism/TNiydv-GglMC?hl=it&gbpv=0,,,,
32,6039081.0,,Hermetic Corpus,...other,,8.0,"Ficino, Marsilio",,,,,,,,,,Marsilii Ficini Opera et quae hactenus existere et quae in lucem nunc primum prodiere omnia... in duos tomos digesta... una cum Gnomologia hoc est sententiarum ex iisdem operibus collectarum farragine... [per Adamum Henricum Petri] adjecta,"Paris, apud Guillaume Pelé, 1641",2°,pp. [8] 1064; [4] 930 (=942) [30],Paris ,"Pelé, Guillaume",,,1641,Latin,https://www.ustc.ac.uk/editions/6039081,,,,,,,,,,,Dannenfeldt 1960a (139),,https://www.google.be/books/edition/Marsilii_Ficini_Opera_et_quae_hactenus_e/i1EtN4kqCnsC?hl=it&gbpv=0,,,,
31,607684.0,,Hermetic Corpus,...other,,74.0,"Ficino, Marsilio",Albinus (Platonicus),Athenagoras (Atheniensis),Dionysius (Areopagita),Hermes Trismegistus,Jamblichus Chalcidensis,,,,,Opera,"Basel, ex officina Heinrich aus Basel Petri, [1576]",2°,pp. [32] 1012 [8] 1013-1979 (=1991) [41],Basel,"Petri, Heinrich aus Basel",,,1576,Latin,https://www.ustc.ac.uk/editions/607684,,,,,,ZV 5830,https://gateway-bayern.de/VD16+ZV+5830,,,,Dannenfeldt 1960a (139),,https://www.e-rara.ch/bau_1/doi/10.3931/e-rara-3135,,,,
30,602586.0,,Hermetic Corpus,...other,,51.0,"Ficino, Marsilio",Albinus (Platonicus),Athenagoras (Atheniensis),Dionysius (Areopagita),Hermes Trismegistus,Jamblichus Chalcidensis,,,,,Opera,"Basel, [per Heinrich aus Basel Petri], 1561",2°,pp. [36] 1012 [8] 1013-1979 [41],Basel,"Petri, Heinrich aus Basel",,,1561,Latin,https://www.ustc.ac.uk/editions/602586,,,,,,F 926,https://gateway-bayern.de/VD16+F+926,,,,Dannenfeldt 1960a (139),,"https://www.digitale-sammlungen.de/en/view/bsb10148160?page=,1",,,,
29,143270.0,,Hermetic Corpus,,,35.0,"Champier, Symphorien",,,,,,,,,,"Liber de quadruplici vita. Theologia Asclepii, Hermetis Trismegisti discipuli, cum commentariis. Sixti, philosophi pythagorici, Enchiridion. Isocratis ad Demonicum oratio preceptiva","Lyon, industria Jannot Deschamps expensis Etienne Gueynard [et] Jacques Huguetan, 1507",4°,ff. [84] [54],Lyon,"Gueynard, Etienne","Huguetan, Jacques","Deschamps,Jannot",1507,Latin,https://www.ustc.ac.uk/editions/143270,,,,,,,,,,,Dannenfeldt 1960a (149),,https://babel.hathitrust.org/cgi/pt?id=uc1.31378008364765&seq=1,,,,
28,847056.0,,Chaldean Oracles,...more than two,,30.0,"Patrizi, Francesco",Hermes Trismegistus,Zoroaster,,,,,,,,"Nova de universis philosophia libris quinquaginta comprehensa. Quibus postremo sunt adiecta. Zoroastis oracula CCCXX ex Platonicis collecta. Hermetis Trismegisti libelli, & fragmenta, Asclepii discipuli tres libelli. Mystica Aegyptiorum, a Platone dictata, ab Aristotele excepta","Venezia, excudebat Robertus Meietti, 1593",2°,ff. [6] 23 [1] 11 (= 12) [152 (= 154] [2] 51 [1] 6 [6] 51 [11],Venezia,"Meietti, Roberto",,,1593,Latin,https://www.ustc.ac.uk/editions/847056,,,,,,,,BVEE016672,http://id.sbn.it/bid/BVEE016672,,Dannenfeldt 1960b (160),,https://www.google.be/books/edition/Nova_de_universis_Philosophia/pZxPAAAAcAAJ?hl=it&gbpv=0,,,,
44,673314.0,,Chaldean Oracles,Hermetic Corpus,,36.0,"Patrizi, Francesco",Hermes Trismegistus,,,,,Apuleius (Madaurensis),,,,Magia philosophica hoc est Francisci patricii summi philosophi zoroaster. et eius 320. Oracula chaldaica. Asclepii dialogus,"Hamburg, [Jakob Wolff (heirs of)], 1593",8°,ff. [1] 253[=255] [2],Hamburg,"Wolff, Jakob (heirs of)",,,1593,Latin,https://www.ustc.ac.uk/editions/673314,,,,,,P 917,https://gateway-bayern.de/VD16+P+917,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Magia_philosophica_hoc_est_hoc_est_Franc/miwPAAAAQAAJ?hl=it&gbpv=0,,,,
27,182281.0,,Chaldean Oracles,,,3.0,"Gemiste, George","Neobar, Conrad","Sainte-Marthe, Jacques de",,,,,,,,Magica Zoroastri Oracula Plethonis commentariis enarrata,"Paris, apud Jean Loys, 1539",4°,ff. [8] 273 (= 255) [1],Paris ,"Loys, Jean",,,1539,Latin,https://www.ustc.ac.uk/editions/182281,,,,,,,,VIAE049051,http://id.sbn.it/bid/VIAE049051,,Dannenfeldt 1960b (159),,https://www.google.be/books/edition/Magica_oracula_Plethonis_commentariis_en/pG5WAAAAcAAJ?hl=it&gbpv=1&pg=PP23&printsec=frontcover,,,,
76,857547.0,,...other,,,36.0,"Steuco, Agostino","Morandi, Ambrogio",,,,,,,,,"Opera omnia, quae iam extabant. A reverendissimo p. Ambrosio Morando summo labore, ac studio restituta necnon aucta Vitae authoris Ac in tres tomos divisa. Cum indice rerum e materiarum locuplentissimo","Venezia, apud Domenico Nicolini da Sabbio, 1591",2°,3 v.,Venezia,"Nicolini da Sabbio, Domenico",,,1591,Greek ,https://www.ustc.ac.uk/editions/857547,,,,,,,,UBOE004821,http://id.sbn.it/bid/UBOE004821,,,,"https://www.google.it/books/edition/Augustini_Steuchi_Opera_omnia_quae_iam_e/pn_Rkz3BzP4C?hl=it&gbpv=1&dq=steuco+Opera+omnia,+quae+iam+extabant.&printsec=frontcover",,,,
